NNxyz,NNxy,NNxz,NNyz,MultiNomial,TrueVals,testIndices
12,4,0,3,7,0,83
10,11,10,8,11,0,84
4,8,9,3,7,0,85
3,7,3,3,7,0,86
3,0,0,4,8,0,87
4,5,4,1,8,0,88
0,15,13,12,10,0,89
0,3,12,0,0,0,90
7,8,7,0,0,0,91
3,4,3,9,0,0,92
3,8,6,4,0,0,93
4,1,0,1,0,0,94
0,4,3,0,0,0,95
1,4,3,0,0,0,96
0,2,0,4,1,0,97
7,8,4,4,0,0,98
0,4,0,0,0,0,99
4,1,0,1,1,1,100
1,1,1,5,1,1,101
0,1,3,1,5,1,102
5,0,1,11,5,1,103
3,5,14,14,5,1,104
4,4,0,4,5,1,105
4,2,5,1,2,1,106
1,1,1,1,2,1,107
4,5,0,4,5,1,108
1,1,5,1,2,1,109
1,1,1,4,1,1,110
1,2,4,1,1,1,111
1,1,4,1,1,1,112
1,1,1,1,1,1,113
1,5,1,4,1,1,114
1,5,4,4,1,1,115
4,0,1,1,1,1,116
1,0,1,7,1,1,117
1,1,1,1,1,1,118
1,0,1,4,1,1,119
1,1,1,4,1,1,120
1,1,1,8,1,1,121
4,0,5,1,4,1,122
5,1,2,2,2,1,123
4,8,4,5,1,1,124
1,2,1,1,1,1,125
1,2,1,1,1,1,126
1,2,1,1,1,1,127
0,2,0,4,7,1,128
1,2,7,4,4,1,129
1,4,1,7,1,1,130
4,5,5,5,1,1,131
1,1,1,4,1,1,132
4,4,4,7,4,1,133
1,1,0,7,4,1,134
4,5,8,1,1,1,135
1,1,0,4,7,1,136
1,8,10,1,7,1,137
1,4,1,1,4,1,138
4,11,1,1,7,1,139
2,1,1,2,5,1,140
1,2,4,1,5,1,141
1,2,1,1,4,1,142
1,1,1,1,4,1,143
4,5,0,4,4,1,144
1,2,14,1,7,1,145
1,1,1,1,1,1,146
4,0,4,4,4,1,147
1,2,8,1,4,1,148
1,5,4,1,4,1,149
2,2,1,1,2,1,150
1,1,1,1,1,1,151
1,2,1,1,1,1,152
1,1,1,1,1,1,153
4,1,1,1,1,1,154
1,2,2,1,1,1,155
1,1,1,1,1,1,156
1,2,4,1,1,1,157
1,0,1,1,1,1,158
1,1,1,1,1,1,159
1,1,1,4,1,1,160
1,1,1,1,1,1,161
1,4,1,4,1,1,162
1,0,1,1,1,1,163
4,5,4,1,1,1,164
0,1,4,1,1,1,165
0,3,1,7,1,1,166
4,1,1,4,1,1,167
1,0,1,4,4,1,168
1,2,1,4,4,1,169
1,1,4,1,1,1,170
1,1,4,4,1,1,171
1,1,1,1,0,1,172
1,2,4,1,0,1,173
1,2,1,1,1,1,174
1,1,4,1,4,1,175
0,1,0,0,0,1,176
1,2,1,1,1,1,177
1,1,1,4,1,1,178
1,2,1,1,1,1,179
11,5,8,5,8,1,180
2,1,1,4,8,1,181
2,8,5,5,8,1,182
2,2,14,5,8,1,183
8,4,1,5,5,1,184
1,4,1,4,8,1,185
1,5,5,1,5,1,186
5,3,1,1,8,1,187
0,5,5,4,8,1,188
1,1,1,1,8,1,189
4,1,4,4,1,1,190
1,1,4,1,1,1,191
1,1,1,1,1,1,192
1,2,1,4,2,1,193
1,1,1,1,1,1,194
2,1,1,1,1,1,195
1,2,5,1,1,1,196
1,1,1,1,2,1,197
4,1,1,4,1,1,198
1,0,1,1,1,1,199
2,2,2,2,2,2,200
2,2,2,2,2,2,201
2,2,5,2,2,2,202
2,2,5,2,5,2,203
2,2,2,2,2,2,204
1,1,1,1,2,2,205
2,2,2,2,2,2,206
2,2,2,2,2,2,207
2,5,1,2,2,2,208
2,2,5,2,2,2,209
2,2,2,5,2,2,210
2,1,2,2,2,2,211
2,2,5,2,2,2,212
1,1,2,2,2,2,213
2,2,2,2,2,2,214
2,1,2,8,2,2,215
2,5,2,2,2,2,216
2,2,2,8,2,2,217
5,1,5,5,2,2,218
2,5,5,2,2,2,219
2,2,2,2,2,2,220
2,2,2,5,2,2,221
2,1,2,2,2,2,222
5,5,2,2,2,2,223
5,4,1,4,1,2,224
2,2,2,2,2,2,225
2,2,2,2,5,2,226
2,2,2,2,2,2,227
2,2,2,2,2,2,228
2,2,2,2,5,2,229
2,1,2,2,2,2,230
2,2,2,2,2,2,231
2,5,2,2,2,2,232
5,5,5,2,5,2,233
5,5,5,2,2,2,234
5,2,8,2,5,2,235
2,8,5,2,2,2,236
5,5,8,5,1,2,237
4,4,8,1,8,2,238
1,2,1,2,5,2,239
2,2,5,2,5,2,240
2,2,2,2,2,2,241
2,2,1,2,5,2,242
2,2,2,2,2,2,243
2,2,2,5,2,2,244
2,2,2,2,2,2,245
2,2,2,2,2,2,246
2,8,1,5,8,2,247
2,2,11,2,5,2,248
2,1,5,2,5,2,249
2,1,2,5,2,2,250
2,1,2,8,2,2,251
2,2,2,2,2,2,252
2,1,2,2,2,2,253
2,2,2,2,2,2,254
2,5,2,2,2,2,255
2,5,5,5,2,2,256
2,1,2,2,2,2,257
2,2,2,2,2,2,258
2,2,5,2,2,2,259
2,1,8,2,2,2,260
2,1,2,2,2,2,261
2,1,2,2,2,2,262
2,5,5,5,2,2,263
2,1,2,2,2,2,264
2,2,2,2,2,2,265
2,1,2,2,2,2,266
2,5,1,8,2,2,267
2,1,1,5,2,2,268
5,8,8,8,5,2,269
2,2,2,2,2,2,270
2,1,2,2,2,2,271
2,2,2,2,2,2,272
1,1,2,2,2,2,273
2,1,5,2,1,2,274
5,0,2,1,2,2,275
2,2,2,5,1,2,276
2,2,2,2,2,2,277
1,2,4,1,1,2,278
2,1,5,2,1,2,279
5,5,2,2,2,2,280
2,1,2,2,2,2,281
2,1,2,2,2,2,282
2,5,5,5,2,2,283
2,1,2,2,2,2,284
2,5,2,8,2,2,285
2,1,2,2,2,2,286
2,2,2,5,2,2,287
2,2,2,2,2,2,288
2,2,2,2,2,2,289
2,1,5,2,2,2,290
2,2,2,2,2,2,291
2,2,2,2,2,2,292
2,2,2,2,2,2,293
2,2,2,2,2,2,294
2,1,2,2,2,2,295
2,2,1,2,2,2,296
2,2,2,2,2,2,297
2,2,5,2,2,2,298
2,2,2,2,2,2,299
12,6,12,9,10,3,300
9,5,9,7,7,3,301
7,3,0,7,7,3,302
0,6,0,0,7,3,303
12,9,12,9,4,3,304
6,8,8,6,8,3,305
1,3,3,10,1,3,306
9,4,10,13,7,3,307
6,0,9,13,7,3,308
3,11,5,7,5,3,309
3,0,6,3,0,3,310
3,8,0,3,0,3,311
3,8,0,3,0,3,312
0,7,3,3,0,3,313
3,8,3,6,3,3,314
3,3,0,3,0,3,315
3,3,3,9,3,3,316
6,0,3,15,3,3,317
6,9,6,3,0,3,318
3,0,0,6,0,3,319
7,4,3,13,7,3,320
3,1,4,4,0,3,321
0,1,0,0,0,3,322
6,9,4,13,6,3,323
6,1,9,0,6,3,324
3,0,0,0,3,3,325
3,3,0,3,6,3,326
9,6,6,3,6,3,327
6,5,3,0,0,3,328
6,1,3,0,0,3,329
7,11,6,10,3,3,330
3,4,6,0,3,3,331
6,0,3,12,6,3,332
3,3,3,7,3,3,333
15,6,9,3,6,3,334
6,11,12,6,6,3,335
9,8,9,0,6,3,336
10,10,9,7,9,3,337
3,3,3,3,9,3,338
15,0,9,3,9,3,339
3,4,6,7,13,3,340
4,6,13,8,11,3,341
0,4,0,0,3,3,342
3,12,0,0,3,3,343
6,4,12,0,9,3,344
7,12,3,6,6,3,345
3,0,3,0,6,3,346
3,0,9,0,6,3,347
7,13,3,6,6,3,348
9,15,12,3,6,3,349
3,0,0,3,0,3,350
3,3,9,3,6,3,351
3,3,9,3,3,3,352
3,8,6,6,3,3,353
3,0,6,6,0,3,354
3,3,0,0,3,3,355
6,10,9,6,3,3,356
6,3,6,0,3,3,357
6,6,3,3,0,3,358
6,8,9,3,0,3,359
0,5,0,0,9,3,360
6,1,0,0,0,3,361
3,0,3,0,3,3,362
0,0,7,7,3,3,363
7,7,9,0,3,3,364
3,0,0,0,0,3,365
3,5,6,3,3,3,366
6,6,12,3,6,3,367
15,3,9,9,6,3,368
6,13,7,6,6,3,369
3,4,9,0,0,3,370
0,3,0,0,0,3,371
0,4,3,0,6,3,372
3,0,3,3,3,3,373
0,2,0,0,0,3,374
3,3,0,15,6,3,375
3,0,3,0,0,3,376
3,1,9,0,6,3,377
3,4,3,6,0,3,378
7,4,3,0,0,3,379
3,7,10,1,11,3,380
3,5,7,4,7,3,381
3,4,3,3,7,3,382
7,7,10,7,8,3,383
0,4,4,12,7,3,384
7,11,10,3,11,3,385
6,3,0,3,7,3,386
12,12,13,7,10,3,387
9,3,6,3,9,3,388
12,12,13,13,10,3,389
7,6,0,0,3,3,390
0,1,6,0,0,3,391
3,4,0,9,0,3,392
3,3,9,3,3,3,393
3,9,0,3,3,3,394
4,10,0,3,7,3,395
12,12,9,15,6,3,396
6,6,6,0,3,3,397
3,3,3,3,0,3,398
0,8,0,0,3,3,399
7,8,6,4,1,4,400
1,1,1,4,1,4,401
1,1,4,1,5,4,402
7,4,0,0,8,4,403
1,1,0,4,5,4,404
5,1,1,4,2,4,405
7,4,8,0,5,4,406
1,1,1,7,1,4,407
8,4,1,2,5,4,408
1,4,1,3,2,4,409
4,0,4,1,1,4,410
4,4,7,1,1,4,411
4,5,4,4,1,4,412
1,5,7,1,1,4,413
4,8,4,4,1,4,414
4,4,4,7,1,4,415
15,4,12,15,7,4,416
3,4,7,4,0,4,417
4,3,7,10,4,4,418
1,1,4,1,1,4,419
4,0,4,4,4,4,420
4,4,5,14,5,4,421
4,4,8,1,4,4,422
4,0,0,0,4,4,423
1,1,0,4,1,4,424
4,1,0,4,4,4,425
4,1,4,4,4,4,426
4,5,7,4,4,4,427
4,4,4,4,4,4,428
7,8,10,4,0,4,429
8,8,8,5,4,4,430
7,8,10,1,7,4,431
10,14,8,7,7,4,432
4,8,7,4,4,4,433
1,3,10,1,10,4,434
7,7,7,7,0,4,435
7,7,10,11,7,4,436
7,9,10,7,10,4,437
3,5,7,4,7,4,438
7,8,7,7,7,4,439
4,8,10,8,8,4,440
2,5,14,1,5,4,441
5,11,5,8,7,4,442
4,8,1,4,7,4,443
5,4,4,4,7,4,444
5,5,1,5,4,4,445
0,0,1,4,4,4,446
4,5,7,4,0,4,447
4,2,4,1,4,4,448
1,0,1,1,4,4,449
4,7,10,4,4,4,450
7,6,4,4,0,4,451
1,2,7,1,1,4,452
4,5,1,5,1,4,453
4,0,4,4,4,4,454
4,4,7,1,4,4,455
4,4,4,1,4,4,456
0,1,7,4,1,4,457
4,4,4,4,1,4,458
4,4,0,4,1,4,459
7,8,7,7,4,4,460
4,4,0,4,0,4,461
3,7,7,7,4,4,462
1,5,4,4,1,4,463
4,3,1,7,1,4,464
4,7,4,4,4,4,465
1,2,5,1,1,4,466
4,5,1,4,1,4,467
7,8,10,7,7,4,468
4,5,4,1,4,4,469
4,3,1,4,4,4,470
4,4,1,4,4,4,471
4,3,1,4,1,4,472
4,5,4,4,0,4,473
4,5,7,4,0,4,474
4,5,7,4,0,4,475
0,5,7,4,0,4,476
1,5,7,4,0,4,477
7,8,7,4,0,4,478
1,1,4,1,0,4,479
11,11,11,5,11,4,480
1,4,9,0,8,4,481
7,4,8,3,8,4,482
3,4,12,5,11,4,483
0,1,4,4,8,4,484
7,5,11,11,8,4,485
7,10,4,0,8,4,486
8,8,14,4,8,4,487
1,1,4,4,8,4,488
1,8,3,4,8,4,489
4,4,0,4,1,4,490
4,4,3,4,4,4,491
0,4,0,9,4,4,492
1,2,4,4,1,4,493
1,5,7,1,4,4,494
7,6,7,4,4,4,495
0,5,0,4,4,4,496
4,4,7,3,4,4,497
4,8,7,3,4,4,498
6,7,7,4,4,4,499
2,8,1,5,5,5,500
2,1,1,4,2,5,501
4,5,4,4,5,5,502
2,2,1,1,5,5,503
5,2,1,2,2,5,504
5,1,1,8,2,5,505
5,2,5,5,2,5,506
8,8,5,5,5,5,507
5,2,1,11,2,5,508
2,2,2,8,2,5,509
5,5,5,5,2,5,510
5,5,8,2,2,5,511
5,8,8,2,2,5,512
5,5,8,2,5,5,513
5,4,8,5,2,5,514
5,2,5,2,2,5,515
8,5,8,2,5,5,516
5,8,5,8,5,5,517
5,8,5,8,5,5,518
8,1,5,5,5,5,519
5,0,1,5,2,5,520
5,7,2,8,5,5,521
5,1,11,11,8,5,522
1,2,1,5,8,5,523
5,8,4,8,5,5,524
2,2,5,2,8,5,525
1,5,8,4,1,5,526
5,4,8,8,1,5,527
8,5,8,8,8,5,528
5,5,8,2,5,5,529
2,5,5,2,5,5,530
8,5,11,5,8,5,531
2,4,1,8,8,5,532
8,8,11,5,8,5,533
5,4,4,8,8,5,534
8,4,10,8,8,5,535
5,11,8,5,8,5,536
8,8,8,8,8,5,537
8,0,11,5,8,5,538
8,8,11,8,8,5,539
8,8,1,2,8,5,540
5,1,5,2,5,5,541
1,1,5,2,5,5,542
2,1,5,2,5,5,543
2,1,1,8,2,5,544
5,8,5,5,5,5,545
5,5,11,2,8,5,546
2,2,5,2,5,5,547
2,2,5,5,5,5,548
5,1,8,1,5,5,549
2,0,2,8,2,5,550
5,7,11,8,1,5,551
2,5,2,2,2,5,552
5,5,1,8,5,5,553
8,8,8,5,5,5,554
5,8,5,5,1,5,555
2,2,5,2,5,5,556
5,4,8,5,1,5,557
5,4,5,5,1,5,558
5,4,5,2,1,5,559
2,2,5,2,5,5,560
2,1,5,2,1,5,561
8,8,8,8,1,5,562
5,8,5,8,1,5,563
5,2,8,2,1,5,564
5,4,5,5,1,5,565
2,2,2,2,2,5,566
4,4,7,4,4,5,567
2,0,5,5,5,5,568
8,5,8,2,5,5,569
5,4,8,8,7,5,570
5,5,10,8,4,5,571
8,8,8,5,8,5,572
2,0,1,2,1,5,573
5,4,5,2,4,5,574
5,4,1,8,1,5,575
5,4,1,8,4,5,576
5,4,5,5,1,5,577
5,5,5,5,1,5,578
2,5,5,2,1,5,579
11,8,11,2,8,5,580
2,4,5,5,8,5,581
5,5,5,1,5,5,582
8,7,4,4,8,5,583
8,8,11,8,5,5,584
5,4,1,4,11,5,585
5,3,1,8,11,5,586
5,8,2,8,2,5,587
5,7,8,5,8,5,588
5,8,8,8,5,5,589
2,4,1,2,5,5,590
1,1,1,2,5,5,591
8,1,8,2,5,5,592
5,5,5,2,5,5,593
1,2,8,1,5,5,594
8,8,1,5,5,5,595
1,2,5,2,5,5,596
2,1,5,8,5,5,597
8,2,5,1,5,5,598
5,2,4,2,2,5,599
7,9,1,7,7,6,600
10,15,11,11,4,6,601
7,8,0,10,7,6,602
3,7,3,3,7,6,603
15,6,6,10,4,6,604
3,9,0,0,4,6,605
6,11,8,10,8,6,606
15,0,9,14,7,6,607
3,11,12,3,7,6,608
3,15,3,9,7,6,609
15,0,9,15,3,6,610
6,9,9,12,3,6,611
6,8,9,9,6,6,612
6,9,12,12,6,6,613
6,6,9,9,6,6,614
6,14,9,0,3,6,615
9,9,6,3,3,6,616
6,9,3,12,6,6,617
9,6,6,13,3,6,618
6,9,6,3,3,6,619
6,4,3,3,6,6,620
9,1,9,9,9,6,621
9,12,7,12,9,6,622
6,4,3,9,6,6,623
9,11,9,3,9,6,624
7,9,9,12,6,6,625
9,10,6,3,6,6,626
3,3,3,9,3,6,627
12,12,9,3,9,6,628
7,7,3,4,3,6,629
6,11,12,9,9,6,630
10,9,9,9,6,6,631
12,11,12,6,9,6,632
9,12,9,12,9,6,633
9,12,9,9,12,6,634
9,7,12,9,9,6,635
12,12,12,12,12,6,636
0,1,3,0,0,6,637
9,11,9,6,12,6,638
12,6,12,6,9,6,639
3,13,6,11,10,6,640
12,12,13,11,13,6,641
6,3,9,9,9,6,642
7,7,7,7,6,6,643
9,9,12,3,6,6,644
9,3,9,0,9,6,645
9,3,9,9,15,6,646
6,6,9,9,6,6,647
13,6,13,7,12,6,648
6,0,9,9,6,6,649
3,6,3,6,3,6,650
6,9,6,7,3,6,651
6,7,0,0,3,6,652
12,15,6,6,6,6,653
9,9,9,3,15,6,654
6,7,9,9,15,6,655
6,6,12,9,6,6,656
9,9,12,3,6,6,657
6,7,6,6,6,6,658
9,6,9,3,6,6,659
3,7,9,7,0,6,660
3,9,3,3,3,6,661
6,11,9,6,6,6,662
12,9,9,12,9,6,663
3,6,6,0,0,6,664
6,7,12,7,3,6,665
9,9,9,6,6,6,666
15,12,9,13,9,6,667
10,15,7,13,3,6,668
10,9,9,13,6,6,669
9,12,9,9,6,6,670
6,6,3,3,3,6,671
6,9,9,6,6,6,672
15,8,3,6,6,6,673
6,8,12,3,9,6,674
3,4,9,0,9,6,675
9,9,9,6,6,6,676
9,7,9,7,6,6,677
6,4,9,6,3,6,678
9,0,3,9,6,6,679
6,7,9,10,10,6,680
6,8,7,4,11,6,681
12,6,12,6,10,6,682
6,6,3,6,10,6,683
12,3,13,7,11,6,684
12,10,13,7,10,6,685
3,9,3,12,10,6,686
13,10,14,3,11,6,687
3,10,3,9,7,6,688
3,6,13,0,13,6,689
9,3,7,13,3,6,690
12,9,9,3,6,6,691
9,15,3,12,6,6,692
12,10,9,12,6,6,693
6,7,9,3,6,6,694
6,6,9,12,6,6,695
12,6,6,0,6,6,696
6,12,3,12,6,6,697
6,6,9,13,3,6,698
12,10,9,6,6,6,699
10,13,11,7,8,7,700
1,4,0,4,1,7,701
6,5,7,7,4,7,702
0,2,9,0,8,7,703
1,4,1,4,5,7,704
8,8,11,8,8,7,705
8,13,3,7,5,7,706
4,3,1,4,5,7,707
0,7,1,7,8,7,708
6,5,4,11,5,7,709
4,0,4,7,1,7,710
3,7,3,10,0,7,711
10,8,10,4,7,7,712
7,7,7,4,0,7,713
7,8,7,4,4,7,714
7,6,7,10,0,7,715
7,6,0,13,3,7,716
7,8,7,7,4,7,717
7,7,7,7,7,7,718
4,8,7,7,0,7,719
8,12,8,8,8,7,720
11,4,8,14,8,7,721
1,6,1,8,1,7,722
7,8,8,8,7,7,723
10,9,10,13,9,7,724
7,8,3,0,0,7,725
7,6,4,13,0,7,726
7,9,4,11,7,7,727
3,0,4,4,7,7,728
9,10,9,13,6,7,729
6,7,10,7,10,7,730
7,8,10,1,10,7,731
7,9,7,7,10,7,732
7,11,10,13,10,7,733
10,13,10,10,10,7,734
7,10,10,7,10,7,735
6,7,9,10,6,7,736
7,7,10,7,7,7,737
10,11,13,10,9,7,738
9,0,9,12,9,7,739
11,0,11,4,11,7,740
7,7,7,7,7,7,741
7,3,7,10,3,7,742
3,4,11,4,7,7,743
7,3,7,7,3,7,744
7,9,6,7,3,7,745
6,6,3,12,6,7,746
7,1,7,1,6,7,747
7,8,7,7,6,7,748
6,3,12,13,9,7,749
3,3,7,7,6,7,750
6,8,10,4,7,7,751
3,7,10,7,7,7,752
10,10,13,7,10,7,753
4,3,7,4,7,7,754
7,3,10,4,3,7,755
7,11,10,7,7,7,756
7,11,10,7,3,7,757
10,8,10,7,7,7,758
7,8,7,7,3,7,759
6,7,7,4,7,7,760
10,9,7,13,0,7,761
4,8,7,4,0,7,762
7,6,7,10,3,7,763
7,7,7,4,0,7,764
6,4,10,0,3,7,765
4,3,4,7,0,7,766
6,7,10,13,7,7,767
7,7,10,4,7,7,768
9,11,10,10,9,7,769
7,7,8,10,7,7,770
7,5,7,4,7,7,771
11,10,10,7,7,7,772
10,11,12,10,9,7,773
7,8,7,4,9,7,774
7,0,7,10,7,7,775
6,9,7,10,6,7,776
7,8,11,5,7,7,777
7,9,7,7,7,7,778
6,8,10,4,7,7,779
8,7,10,11,8,7,780
5,11,11,11,11,7,781
9,8,14,14,11,7,782
11,8,11,5,8,7,783
4,6,10,4,10,7,784
11,10,11,4,11,7,785
10,7,0,7,8,7,786
1,3,3,10,8,7,787
13,8,14,7,14,7,788
12,13,10,3,11,7,789
10,9,10,10,10,7,790
10,8,12,6,10,7,791
9,9,10,3,7,7,792
9,4,10,0,7,7,793
7,9,10,10,7,7,794
10,11,10,10,10,7,795
6,11,10,0,10,7,796
10,12,3,10,7,7,797
7,9,4,13,7,7,798
6,9,10,13,7,7,799
11,11,14,2,11,8,800
8,8,8,8,5,8,801
11,8,11,4,8,8,802
11,11,8,8,5,8,803
8,8,8,5,5,8,804
8,5,8,5,5,8,805
8,8,14,5,5,8,806
8,8,7,8,5,8,807
5,5,1,5,5,8,808
13,4,1,8,5,8,809
8,6,8,8,4,8,810
8,2,4,8,5,8,811
5,8,5,5,5,8,812
8,4,8,5,4,8,813
8,8,8,8,5,8,814
8,8,8,5,8,8,815
8,8,8,5,7,8,816
8,4,8,5,8,8,817
8,11,8,11,4,8,818
8,9,8,14,5,8,819
11,7,11,5,11,8,820
10,9,0,11,8,8,821
2,0,5,2,8,8,822
8,11,5,14,8,8,823
8,13,14,8,11,8,824
8,1,11,5,8,8,825
11,8,11,5,7,8,826
2,5,5,8,8,8,827
8,8,5,8,5,8,828
5,4,1,8,1,8,829
11,11,11,14,14,8,830
8,6,8,11,8,8,831
7,8,11,14,8,8,832
8,6,11,11,11,8,833
6,7,11,1,8,8,834
10,4,11,1,7,8,835
8,7,11,8,11,8,836
8,11,11,8,11,8,837
7,4,11,5,10,8,838
8,7,4,8,7,8,839
2,5,2,2,2,8,840
8,4,8,5,8,8,841
5,1,4,8,8,8,842
5,1,1,8,5,8,843
4,5,8,4,8,8,844
5,8,10,8,8,8,845
4,4,8,4,7,8,846
8,7,12,11,7,8,847
8,4,11,8,8,8,848
8,5,7,5,8,8,849
8,7,1,5,5,8,850
8,4,8,8,5,8,851
4,4,8,1,8,8,852
7,7,11,8,8,8,853
7,8,8,11,5,8,854
8,7,8,11,8,8,855
11,7,11,11,4,8,856
8,10,8,8,8,8,857
11,8,8,5,8,8,858
8,11,11,8,7,8,859
2,7,11,8,8,8,860
5,7,11,8,8,8,861
5,5,5,5,5,8,862
8,8,11,1,7,8,863
8,8,8,5,8,8,864
5,7,8,8,8,8,865
5,7,5,8,4,8,866
8,6,11,8,7,8,867
5,8,11,5,8,8,868
10,7,11,4,8,8,869
8,11,11,8,11,8,870
8,8,7,11,10,8,871
8,8,11,8,7,8,872
8,8,8,5,7,8,873
8,8,5,5,1,8,874
8,8,8,5,8,8,875
5,8,11,8,8,8,876
11,5,8,11,4,8,877
5,5,8,8,4,8,878
8,5,8,8,7,8,879
5,7,13,8,14,8,880
11,14,14,8,14,8,881
2,8,14,8,11,8,882
8,8,11,8,8,8,883
14,11,14,5,8,8,884
11,5,11,5,8,8,885
7,9,4,14,8,8,886
5,5,5,5,8,8,887
5,3,8,8,8,8,888
11,8,11,11,11,8,889
8,8,11,14,5,8,890
5,5,5,2,5,8,891
8,5,4,5,5,8,892
8,9,5,8,5,8,893
11,11,11,7,11,8,894
5,8,1,5,5,8,895
5,8,4,8,8,8,896
11,11,8,11,8,8,897
8,8,8,8,5,8,898
8,8,11,11,8,8,899
3,4,9,4,7,9,900
6,10,10,9,10,9,901
9,10,9,3,10,9,902
9,12,9,12,10,9,903
3,4,0,3,4,9,904
12,13,0,13,4,9,905
9,11,8,13,7,9,906
1,4,12,9,4,9,907
12,12,3,6,7,9,908
12,11,10,13,10,9,909
15,15,12,3,15,9,910
9,12,9,12,15,9,911
9,9,3,12,6,9,912
12,9,9,3,15,9,913
10,9,9,13,6,9,914
9,9,9,3,6,9,915
9,9,12,12,9,9,916
12,9,12,6,15,9,917
9,10,9,12,6,9,918
9,15,12,12,9,9,919
7,10,10,13,7,9,920
12,9,9,13,9,9,921
9,12,10,12,12,9,922
9,12,9,12,9,9,923
9,6,9,3,9,9,924
9,7,10,6,12,9,925
9,9,9,12,9,9,926
10,13,9,7,9,9,927
9,7,9,6,6,9,928
9,10,6,6,6,9,929
10,9,12,13,9,9,930
9,9,9,15,12,9,931
9,10,12,9,12,9,932
9,3,10,10,12,9,933
6,6,9,9,6,9,934
9,9,9,12,9,9,935
9,12,9,9,12,9,936
10,7,10,10,10,9,937
0,4,15,0,9,9,938
9,7,12,9,12,9,939
13,13,13,10,13,9,940
12,15,12,13,12,9,941
10,13,13,12,12,9,942
12,15,13,12,12,9,943
12,13,12,6,15,9,944
10,9,9,6,6,9,945
9,3,9,3,15,9,946
12,15,12,7,9,9,947
9,12,10,13,9,9,948
6,6,9,12,15,9,949
6,3,10,13,6,9,950
9,9,12,9,12,9,951
12,9,12,3,15,9,952
12,9,12,6,15,9,953
9,10,9,6,12,9,954
6,7,9,6,9,9,955
12,12,12,12,12,9,956
9,6,12,9,15,9,957
9,13,9,12,9,9,958
12,13,12,12,9,9,959
6,5,10,4,6,9,960
6,6,12,12,6,9,961
6,3,9,12,9,9,962
9,14,12,3,6,9,963
9,11,12,0,6,9,964
9,0,9,9,9,9,965
6,4,3,6,6,9,966
6,7,0,3,6,9,967
12,12,12,6,12,9,968
15,3,9,9,12,9,969
6,9,9,6,9,9,970
9,7,12,3,9,9,971
12,15,9,12,9,9,972
9,10,9,6,15,9,973
9,9,12,6,12,9,974
10,9,12,12,9,9,975
9,9,9,12,15,9,976
10,9,10,13,9,9,977
9,11,9,9,9,9,978
6,4,9,6,9,9,979
7,9,13,11,11,9,980
11,9,13,11,11,9,981
10,9,10,4,10,9,982
11,13,13,7,11,9,983
13,10,13,7,13,9,984
15,4,10,6,11,9,985
12,9,12,13,10,9,986
13,9,13,7,10,9,987
11,9,0,7,11,9,988
6,9,4,6,10,9,989
9,6,12,9,12,9,990
12,10,9,12,9,9,991
15,13,9,12,9,9,992
9,9,9,6,9,9,993
